name,weight,HR,handedness,height,avg,BMI,height_degree
Ed Ott,190,33,L,70,0.259,27.259,Medium
Alan Wiggins,160,5,B,74,0.259,20.541,Medium
Ron Clark,175,5,R,70,0.189,25.107,Medium
Julio Gotay,180,6,R,72,0.26,24.41,Medium
Gary Alexander,195,55,R,74,0.23,25.034,Medium
Andre Thornton,200,253,R,75,0.254,24.996,Medium
Bob Oliver,205,94,R,75,0.256,25.62,Medium
Bob Robertson,195,115,R,73,0.242,25.724,Medium
Ollie Brown,178,102,R,74,0.265,22.851,Medium
Frank Quilici,170,5,R,73,0.214,22.426,Medium
Joe Pepitone,185,219,L,74,0.258,23.75,Medium
Steve Barber,195,5,L,72,0.115,26.444,Medium
Norm Miller,185,24,L,70,0.238,26.542,Medium
Bob Chance,196,24,L,74,0.261,25.162,Medium
Julio Cruz,165,23,B,69,0.237,24.364,Medium
Bill Sample,175,46,R,69,0.272,25.84,Medium
Craig Kusick,210,46,R,75,0.235,26.245,Medium
Rudy Meoli,165,2,L,69,0.212,24.364,Medium
Ruppert Jones,170,147,L,70,0.25,24.39,Medium
Glenn Hoffman,175,23,R,73,0.242,23.086,Medium
Russ Gibson,195,8,R,73,0.228,25.724,Medium
Terry Francona,190,16,L,73,0.274,25.065,Medium
John Bateman,210,81,R,75,0.23,26.245,Medium
Luis Pujols,175,6,R,74,0.193,22.466,Medium
Joe Gaines,190,21,R,73,0.241,25.065,Medium
Doug Rader,208,155,R,74,0.251,26.703,Medium
Mickey Stanley,185,117,R,73,0.248,24.405,Medium
Phil Bradley,185,78,R,72,0.286,25.088,Medium
Winston Llenas,165,3,R,70,0.23,23.672,Medium
Charlie Moore,180,36,R,71,0.261,25.102,Medium
Ralph Garr,185,75,L,71,0.306,25.799,Medium
Tommy John,180,5,R,75,0.157,22.496,Medium
Bruce Benedict,175,18,R,73,0.242,23.086,Medium
John Ellis,225,69,R,74,0.262,28.885,Medium
Wes Parker,180,64,B,73,0.267,23.746,Medium
David Green,170,31,R,75,0.268,21.246,Medium
Reid Nichols,165,22,R,71,0.266,23.01,Medium
Rick Reichardt,210,116,R,75,0.261,26.245,Medium
Luis Tiant,180,5,R,72,0.164,24.41,Medium
Broderick Perkins,180,8,L,70,0.271,25.824,Medium
Leon Roberts,200,78,R,75,0.267,24.996,Medium
Ray Burris,200,1,R,77,0.151,23.714,Tall
Len Gabrielson,210,37,L,76,0.253,25.559,Medium
Johnny Edwards,220,81,L,76,0.242,26.776,Medium
Tom Grieve,190,65,R,74,0.249,24.392,Medium
Bob Forsch,200,12,R,76,0.213,24.342,Medium
Danny Cater,170,66,R,72,0.276,23.054,Medium
Bill Schroeder,200,61,R,74,0.24,25.676,Medium
Clay Dalrymple,190,55,L,72,0.233,25.766,Medium
Carlos May,200,90,L,71,0.274,27.891,Medium
Reggie Smith,180,314,B,72,0.287,24.41,Medium
Ron Reed,215,0,R,78,0.158,24.843,Tall
Davey Johnson,170,136,R,73,0.261,22.426,Medium
Ellis Valentine,205,123,R,76,0.278,24.951,Medium
Roy White,160,160,B,70,0.271,22.955,Medium
Mike Brumley,195,5,L,70,0.229,27.977,Medium
Al Luplow,175,33,L,70,0.235,25.107,Medium
Dick Allen,187,351,R,71,0.292,26.078,Medium
Doug Ault,200,17,R,75,0.236,24.996,Medium
Mark Wagner,165,3,R,72,0.243,22.376,Medium
Willie Stargell,188,475,L,74,0.282,24.135,Medium
Steve Carlton,210,13,L,76,0.201,25.559,Medium
Jake Wood,163,35,R,73,0.25,21.503,Medium
Del Unser,180,87,L,73,0.258,23.746,Medium
Bob Brower,185,17,R,71,0.242,25.799,Medium
Ray Culp,200,1,R,72,0.123,27.122,Medium
Ivan Murrell,195,33,R,74,0.236,25.034,Medium
Lee Mazzilli,180,93,B,73,0.259,23.746,Medium
Garth Iorg,170,20,R,71,0.258,23.708,Medium
Alan Ashby,185,90,B,74,0.245,23.75,Medium
Bob Brenly,210,91,R,74,0.247,26.959,Medium
Ron Blomberg,195,52,L,73,0.293,25.724,Medium
Jim Rooker,195,7,R,72,0.201,26.444,Medium
Tim Blackwell,170,6,B,71,0.228,23.708,Medium
Jerry Morales,155,95,R,70,0.259,22.238,Medium
Davey Lopes,170,155,R,69,0.263,25.102,Medium
Catfish Hunter,190,6,R,72,0.226,25.766,Medium
Mario Soto,174,1,R,72,0.132,23.596,Medium
Jimmy Wynn,160,291,R,70,0.25,22.955,Medium
Hank Allen,190,6,R,72,0.241,25.766,Medium
Jim Fregosi,190,151,R,73,0.265,25.065,Medium
Pepe Frias,159,1,R,70,0.24,22.812,Medium
Mike Schmidt,195,548,R,74,0.267,25.034,Medium
Willie Montanez,170,139,L,72,0.275,23.054,Medium
Rey Quinones,160,29,R,71,0.243,22.313,Medium
Mike Squires,185,6,L,71,0.26,25.799,Medium
Champ Summers,205,54,L,74,0.255,26.318,Medium
Bert Campaneris,160,79,R,70,0.259,22.955,Medium
Bobby Valentine,189,12,R,70,0.26,27.116,Medium
Rob Andrews,185,3,R,72,0.251,25.088,Medium
Tom Haller,195,134,L,76,0.257,23.734,Medium
Ed Stroud,180,14,L,71,0.237,25.102,Medium
Ron Swoboda,195,73,R,74,0.242,25.034,Medium
Harry Spilman,180,18,L,73,0.237,23.746,Medium
Bob Barton,175,9,R,72,0.226,23.732,Medium
Daryl Sconiers,185,15,L,74,0.265,23.75,Medium
Joe Torre,212,252,R,74,0.297,27.216,Medium
Al Ferrara,200,51,R,73,0.259,26.384,Medium
Sixto Lezcano,165,148,R,70,0.271,23.672,Medium
Dave Nicholson,215,61,R,74,0.212,27.601,Medium
Freddie Patek,148,41,R,65,0.242,24.626,Short
Ken Hubbs,175,14,R,74,0.247,22.466,Medium
Pepe Mangual,157,16,R,70,0.242,22.525,Medium
Leron Lee,196,31,L,72,0.25,26.579,Medium
Steve Ontiveros,185,24,B,72,0.274,25.088,Medium
Willie Davis,180,182,L,74,0.279,23.108,Medium
Tom Lawless,170,2,R,71,0.207,23.708,Medium
Jerry Moses,210,25,R,75,0.251,26.245,Medium
Bobby Bonds,190,332,R,73,0.268,25.065,Medium
Dave McNally,185,9,R,71,0.133,25.799,Medium
Darrell Brown,184,1,B,72,0.274,24.952,Medium
Roy Foster,185,45,R,72,0.253,25.088,Medium
Denis Menke,185,101,R,72,0.25,25.088,Medium
Hal Breeden,200,21,R,74,0.243,25.676,Medium
Manny Trillo,150,61,R,73,0.263,19.788,Medium
Jackie Gutierrez,175,4,R,71,0.237,24.405,Medium
Jerry Kenney,170,7,L,73,0.237,22.426,Medium
Fred Kendall,185,31,R,73,0.234,24.405,Medium
Mike Anderson,200,28,R,74,0.246,25.676,Medium
Joe Charboneau,205,29,R,74,0.266,26.318,Medium
Jimmie Schaffer,170,11,R,69,0.223,25.102,Medium
Junior Kennedy,175,4,R,71,0.248,24.405,Medium
Wilbur Howard,170,6,B,74,0.25,21.824,Medium
Rod Gilbreath,180,14,R,74,0.248,23.108,Medium
Mark Brouhard,210,25,R,73,0.259,27.703,Medium
Mike Young,195,72,B,74,0.247,25.034,Medium
Chris Speier,175,112,R,73,0.246,23.086,Medium
Gene Michael,183,15,B,74,0.229,23.493,Medium
Vic Harris,165,13,B,71,0.217,23.01,Medium
Mike Fischlin,165,3,R,73,0.22,21.767,Medium
Don Money,170,176,R,73,0.261,22.426,Medium
Joe Rudi,200,179,R,74,0.264,25.676,Medium
Jim Rice,200,382,R,74,0.298,25.676,Medium
Gil Garrido,150,1,R,69,0.237,22.149,Medium
Marty Perez,160,22,R,71,0.246,22.313,Medium
Tom Matchick,173,4,L,73,0.215,22.822,Medium
Jack Perconte,160,2,L,70,0.27,22.955,Medium
Ed Kirkpatrick,195,85,L,71,0.238,27.194,Medium
Jerry Grote,185,39,R,70,0.252,26.542,Medium
Ellie Hendricks,175,62,L,73,0.22,23.086,Medium
Jim Beauchamp,190,14,R,74,0.231,24.392,Medium
Tito Fuentes,175,45,B,71,0.268,24.405,Medium
Ron Brand,167,3,R,67,0.239,26.153,Short
Leo Cardenas,150,118,R,71,0.257,20.918,Medium
Art Shamsky,168,68,L,73,0.253,22.163,Medium
Ron Cey,185,316,R,70,0.261,26.542,Medium
Skip Jutze,190,3,R,71,0.215,26.497,Medium
Butch Wynegar,190,65,B,73,0.255,25.065,Medium
Ron LeFlore,200,59,R,72,0.288,27.122,Medium
Bill Russell,175,46,R,72,0.263,23.732,Medium
Gene Tenace,190,201,R,72,0.241,25.766,Medium
Bubba Morton,175,14,R,70,0.267,25.107,Medium
Ellie Rodriguez,185,16,R,71,0.245,25.799,Medium
Darrel Chaney,188,14,B,74,0.217,24.135,Medium
Dick Nen,200,21,L,74,0.224,25.676,Medium
Bill Freehan,203,200,R,75,0.262,25.37,Medium
Steve Nicosia,185,11,R,70,0.248,26.542,Medium
Ted Savage,185,34,R,73,0.233,24.405,Medium
Pete Mackanin,190,30,R,74,0.226,24.392,Medium
Rich Dauer,180,43,R,72,0.257,24.41,Medium
Mick Kelleher,176,0,R,69,0.213,25.988,Medium
Rowland Office,170,32,L,72,0.259,23.054,Medium
Rick Leach,180,18,L,73,0.268,23.746,Medium
Dwayne Murphy,185,166,L,73,0.246,24.405,Medium
Larry Harlow,185,12,L,74,0.248,23.75,Medium
Mike Epstein,230,130,L,75,0.244,28.745,Medium
Jerry Mumphrey,185,70,B,74,0.289,23.75,Medium
Don Sutton,185,0,R,73,0.144,24.405,Medium
Glenn Beckert,190,22,R,73,0.283,25.065,Medium
Ron Davis,175,10,R,72,0.233,23.732,Medium
Mike Shannon,195,68,R,75,0.255,24.371,Medium
Jason Thompson,200,208,L,76,0.261,24.342,Medium
Wayne Tolleson,160,9,B,69,0.241,23.625,Medium
Mike Jorgensen,195,95,L,72,0.243,26.444,Medium
